Concept	Preferred Term	Id
Psychosomatic abdominal pain (disorder)	Psychosomatic abdominal pain	307199009
Caregiver stress syndrome (disorder)	Caregiver stress syndrome	300979000
Endogenous depression (disorder)	Endogenous depression	300706003
Confusional state (disorder)	Confusional state	286933003
Chronic confusional state (disorder)	Chronic confusional state	280994000
Erotomania (disorder)	Erotomania	280949006
Occupational neurosis (disorder)	Occupational neurosis	280946004
Derealization syndrome (disorder)	Derealization syndrome	280945000
Dissociative confusion (disorder)	Dissociative confusion	280943007
Couvade (disorder)	Couvade	280901000
Shell shock (disorder)	Shell shock	279611005
Maternity blues (disorder)	Maternity blues	279225001
Dementia of frontal lobe type (disorder)	Dementia of frontal lobe type	278857002
Acute schizophrenia-like psychotic disorder (disorder)	Acute schizophrenia-like psychotic disorder	278853003
Paranoid-hallucinatory epileptic psychosis (disorder)	Paranoid-hallucinatory epileptic psychosis	278852008
Delusional dysmorphophobia (disorder)	Delusional dysmorphophobia	278508007
Involutional paranoid state (disorder)	Involutional paranoid state	278506006
Dissociative stupor (disorder)	Dissociative stupor	276300008
Dissociative possession disorder (disorder)	Dissociative possession disorder	276297003
Dissociative trance (disorder)	Dissociative trance	276296007
Psychogenic overeating (disorder)	Psychogenic overeating	275474009
Specific work inhibition (disorder)	Specific work inhibition	275473003
Psychogenic dysphonia (disorder)	Psychogenic dysphonia	275472008
Gardner-Diamond syndrome (disorder)	Painful bruising syndrome	275446004
Acute polymorphic psychotic disorder (disorder)	Acute polymorphic psychotic disorder	274953007
Borderline schizophrenia (disorder)	Borderline schizophrenia	274952002
Self-inflicted skin lesions (disorder)	Self-inflicted skin lesions	274949005
Endogenous depression - recurrent (disorder)	Endogenous depression - recurrent	274948002
Stress and adjustment reaction (disorder)	Stress and adjustment reaction	271952001
Schizoaffective disorder, manic type (disorder)	Schizoaffective disorder, manic type	271428004
Childhood disinhibited attachment disorder (disorder)	Childhood disinhibited attachment disorder	270905000
Lack or loss of sexual desire (disorder)	Lack or loss of sexual desire	270903007
Schizoaffective disorder, mixed type (disorder)	Schizoaffective disorder, mixed type	270901009
Poor insight into neurotic condition (disorder)	Poor insight into neurotic condition	268958005
Neurotic condition, insight present (disorder)	Neurotic condition, insight present	268957000
Specific spelling disorder (disorder)	Specific spelling disorder	268738002
Excessive sexual drive (disorder)	Excessive sexual drive	268724009
Dissociative motor disorder (disorder)	Dissociative motor disorder	268715000
Childhood and adolescent disturbance with elective mutism (disorder)	Childhood and adolescent disturbance with elective mutism	268669006
Childhood and adolescent disturbance with introversion (disorder)	Childhood and adolescent disturbance with introversion	268668003
Childhood and adolescent disturbance with shyness (disorder)	Childhood and adolescent disturbance with shyness	268667008
Childhood and adolescent disturbance with sensitivity (disorder)	Childhood and adolescent disturbance with sensitivity	268666004
Childhood emotional disorder (disorder)	Childhood emotional disorder	268664001
Unsocial childhood truancy (disorder)	Unsocial childhood truancy	268662002
Nonaggressive unsocial conduct disorder (disorder)	Nonaggressive unsocial conduct disorder	268661009
Specific academic or work inhibition (disorder)	Specific academic or work inhibition	268658008
Somatoform autonomic dysfunction - gastrointestinal tract (disorder)	Somatoform autonomic dysfunction - gastrointestinal tract	268650001
Psychoneurotic personality disorder (disorder)	Psychoneurotic personality disorder	268634009
Introverted personality disorder (disorder)	Introverted personality disorder	268633003
Acute paranoid reaction (disorder)	Acute paranoid reaction	268624000
Chronic paranoid psychosis (disorder)	Chronic paranoid psychosis	268622001
Recurrent major depressive episodes (disorder)	Recurrent major depressive episodes	268621008
Manic disorder, single episode (disorder)	Manic disorder, single episode	268619003
Acute schizophrenic episode (disorder)	Acute schizophrenic episode	268617001
Senile and presenile organic psychotic conditions (disorder)	Senile and presenile organic psychotic conditions	268612007
Jumping disease (disorder)	Jumping disease	267414004
Pregnancy with mental disorders (disorder)	Pregnancy with mental disorders	267320004
Self-induced purging (disorder)	Self-induced purging	249520001
Self-induced purging to lose weight (disorder)	Self-induced purging to lose weight	248118000
Flashing (disorder)	Flashing	248103001
Schizophrenic prodrome (disorder)	Schizophrenic prodrome	247804008
Seasonal affective disorder (disorder)	Seasonal affective disorder	247803002
Psychosomatic rheumatism (disorder)	Psychosomatic rheumatism	247364000
Hyposchemazia (disorder)	Hyposchemazia	238979004
Hyperschemazia (disorder)	Hyperschemazia	238978007
Delusional hyperhidrosis (disorder)	Delusional hyperhidrosis	238977002
Delusions of infestation (disorder)	Delusions of infestation	238974009
Delusions of parasitosis (disorder)	Delusions of parasitosis	238973003
Cutaneous monosymptomatic delusional psychosis (disorder)	Cutaneous monosymptomatic delusional psychosis	238972008
Psychogenic sensory disturbance of skin (disorder)	Psychogenic sensory disturbance of skin	238967004
Syphilophobia (disorder)	Syphilophobia	238966008
Venereophobia (disorder)	Venereophobia	238965007
Trichophobia (disorder)	Trichophobia	238961003
Dermatological non-disease (disorder)	Dermatological non-disease	238960002
Disorders of cutaneous image and perception (disorder)	Disorders of cutaneous image and perception	238959007
Repetitive self-excoriation (disorder)	Repetitive self-excoriation	238958004
Factitial panniculitis (disorder)	Factitial panniculitis	238884009
Severe postnatal psychosis (disorder)	Severe postnatal psychosis	237352005
Mild postnatal psychosis (disorder)	Mild postnatal psychosis	237351003
Severe postnatal depression (disorder)	Severe postnatal depression	237350002
Mild postnatal depression (disorder)	Mild postnatal depression	237349002
Psychogenic urinary incontinence (disorder)	Psychogenic urinary incontinence	236667007
Gingivitis artefacta (disorder)	Gingivitis artefacta	235004005
Factitious asthma (disorder)	Factitious asthma	233690008
Conjunctivitis artefacta (disorder)	Factitious conjunctivitis	231864002
Depressive conduct disorder (disorder)	Depressive conduct disorder	231542000
Conduct disorder - unsocialized (disorder)	Conduct disorder - unsocialised	231541007
Conduct disorder - in family context (disorder)	Conduct disorder - in family context	231540008
Adolescent - emotional problem (disorder)	Adolescent - emotional problem	231539006
Behavioral and emotional disorder with onset in childhood (disorder)	Behavioural and emotional disorder with onset in childhood	231538003
Developmental agnosia (disorder)	Developmental agnosia	231537008
Atypical autism (disorder)	Atypical autism	231536004
Dermatological pathomimicry (disorder)	Dermatological pathomimicry	231531009
Post-concussional personality disorder (disorder)	Post-concussional personality disorder	231530005
Anxious personality disorder (disorder)	Anxious personality disorder	231528008
Explosive personality disorder (disorder)	Explosive personality disorder	231527003
Fanatic personality (disorder)	Fanatic personality	231526007
Manipulative personality disorder (disorder)	Manipulative personality disorder	231525006
Interictal behavior disorder (disorder)	Interictal behavior disorder	231524005
Atypical bulimia nervosa (disorder)	Atypical bulimia nervosa	231523004
Atypical anorexia nervosa (disorder)	Atypical anorexia nervosa	231522009
Weight fixation (disorder)	Weight fixation	231521002
Behavioral syndrome associated with physiological disturbance and physical factors (disorder)	Behavioral syndrome associated with physiological disturbance and physical factors	231520001
Depersonalization-derealization syndrome (disorder)	Depersonalisation-derealisation syndrome	231519007
Somatoform autonomic dysfunction (disorder)	Somatoform autonomic dysfunction	231517009
Cutaneous hypochondriasis (disorder)	Cutaneous hypochondriasis	231516000
Hypochondriacal pain (disorder)	Hypochondriacal pain	231515001
Dissociative astasia-abasia (disorder)	Dissociative astasia-abasia	231509001
Mixed anxiety and depressive disorder (disorder)	Mixed anxiety and depressive disorder	231504006
Masked depression (disorder)	Masked depression	231500002
Endogenous depression first episode (disorder)	Endogenous depression first episode	231499006
Hypomania (disorder)	Hypomania	231496004
Manic stupor (disorder)	Manic stupor	231495000
Mania (disorder)	Mania	231494001
Acute transient psychotic disorder (disorder)	Acute transient psychotic disorder	231489001
Persistent delusional disorder (disorder)	Persistent delusional disorder	231487004
Post-schizophrenic depression (disorder)	Post-schizophrenic depression	231485007
Postleucotomy syndrome (disorder)	Postleucotomy syndrome	231456001
Organic pseudoretarded personality (disorder)	Organic pseudoretarded personality	231455002
Organic pseudopsychopathic personality (disorder)	Organic pseudopsychopathic personality	231454003
Lobotomy syndrome (disorder)	Lobotomy syndrome	231453009
Limbic epilepsy personality syndrome (disorder)	Limbic epilepsy personality syndrome	231452004
Epileptic psychosis (disorder)	Epileptic psychosis	231449007
Age-associated memory impairment (disorder)	Age-associated memory impairment	231448004
Organic emotionally labile disorder (disorder)	Organic emotionally labile disorder	231446000
Organic dissociative disorder (disorder)	Organic dissociative disorder	231445001
Organic bipolar disorder (disorder)	Organic bipolar disorder	231444002
Right hemispheric organic affective disorder (disorder)	Right hemispheric organic affective disorder	231443008
Organic catatonic disorder (disorder)	Organic catatonic disorder	231442003
Delirium of mixed origin (disorder)	Delirium of mixed origin	231440006
Toxic confusional state (disorder)	Toxic confusional state	231439009
Presbyophrenic psychosis (disorder)	Presbyophrenic psychosis	231438001
Reactive psychoses (disorder)	Reactive psychoses	231437006
Cluster tic syndrome (disorder)	Cluster tic syndrome	230539002
Gestural tic disorder (disorder)	Gestural tic disorder	230338006
Motor tic disorder (disorder)	Motor tic disorder	230337001
Vocal tic disorder (disorder)	Vocal tic disorder	230336005
Facial tic disorder (disorder)	Facial tic disorder	230335009
Tic caused by drug (disorder)	Tic caused by drug	230334008
Akinetic-rigid form of Huntington's disease (disorder)	Akinetic-rigid form of Huntington's disease	230301006
Late onset Huntington's disease (disorder)	Late onset Huntington's disease	230300007
Juvenile onset Huntington's disease (disorder)	Juvenile onset Huntington's disease	230299004
Patchy dementia (disorder)	Patchy dementia	230289009
Mixed cortical and subcortical vascular dementia (disorder)	Mixed cortical and subcortical vascular dementia	230287006
Subcortical vascular dementia (disorder)	Subcortical vascular dementia	230286002
Vascular dementia of acute onset (disorder)	Vascular dementia of acute onset	230285003
Post-traumatic dementia (disorder)	Traumatic encephalopathy	230282000
Progressive aphasia in Alzheimer's disease (disorder)	Progressive aphasia in Alzheimer's disease	230280008
Focal Alzheimer's disease (disorder)	Focal Alzheimer's disease	230269008
Non-familial Alzheimer's disease of late onset (disorder)	Non-familial Alzheimer's disease of late onset	230268000
Familial Alzheimer's disease of late onset (disorder)	Familial Alzheimer's disease of late onset	230267005
Non-familial Alzheimer's disease of early onset (disorder)	Non-familial Alzheimer's disease of early onset	230266001
Familial Alzheimer's disease of early onset (disorder)	Familial Alzheimer's disease of early onset	230265002
Deficits in attention motor control and perception (disorder)	Deficits in attention motor control and perception	229715008
Developmental motor speech disorder (disorder)	Developmental motor speech disorder	229700007
Motor speech disorder (disorder)	Motor speech disorder	229683000
Psychogenic stammering (disorder)	Psychogenic stammering	229630008
Localized dissociative amnesia (disorder)	Localized dissociative amnesia	225040001
Mental disorders during pregnancy, childbirth and the puerperium (disorder)	Mental disorders during pregnancy, childbirth and the puerperium	199257008
Anxiety disorder (disorder)	Anxiety disorder	197480006
Charles Bonnet syndrome (disorder)	Charles Bonnet syndrome	193756007
Pica of infancy and childhood (disorder)	Pica of infancy and childhood	192631000
Psychogenic feeding disorder of infancy and childhood (disorder)	Psychogenic feeding disorder of infancy and childhood	192630004
Childhood or adolescent disorder of social functioning (disorder)	Childhood or adolescent disorder of social functioning	192616009
Childhood phobic anxiety disorder (disorder)	Childhood phobic anxiety disorder	192611004
Mixed disorder of scholastic skills (disorder)	Mixed disorder of scholastic skills	192575009
Disorder of psychological development (disorder)	Disorder of psychological development	192562009
Elaboration of physical symptoms for psychological reasons (disorder)	Elaboration of physical symptoms for psychological reasons	192527004
Bipolar affective disorder, current episode mixed (disorder)	Bipolar affective disorder, current episode mixed	192362008
Mixed disorder of psychological development (disorder)	Mixed disorder of psychological development	192147004
Specific reading disorder (disorder)	Specific reading disorder	192136006
Hyperkinetic conduct disorder (disorder)	Hyperkinetic conduct disorder	192132008
Hyperkinesis with developmental delay (disorder)	Hyperkinesis with developmental delay	192131001
Child attention deficit disorder (disorder)	Child attention deficit disorder	192127007
Academic underachievement disorder (disorder)	Academic underachievement disorder	192123006
Sibling jealousy (disorder)	Sibling jealousy	192119003
Childhood and adolescent fearfulness disturbance (disorder)	Childhood and adolescent fearfulness disturbance	192110004
Disturbance of anxiety and fearfulness in childhood and adolescence (disorder)	Disturbance of anxiety and fearfulness in childhood and adolescence	192108001
Neurotic delinquency (disorder)	Neurotic delinquency	192100008
Childhood disorder of conduct and emotion (disorder)	Childhood disorder of conduct and emotion	192099000
Isolated explosive disorder (disorder)	Isolated explosive disorder	192097003
Group delinquency (disorder)	Group delinquency	192092009
Aggressive unsocial conduct disorder (disorder)	Aggressive unsocial conduct disorder	192082001
Chronic depression (disorder)	Chronic depression	192080009
Postviral depression (disorder)	Postviral depression	192079006
Change in personality (disorder)	Change in personality	192073007
Organic memory impairment (disorder)	Organic memory impairment	192072002
Specific nonpsychotic mental disorders following organic brain damage (disorder)	Specific nonpsychotic mental disorders following organic brain damage	192069009
Hospitalism (disorder)	Hospitalism	192065003
Elective mutism due to an adjustment reaction (disorder)	Elective mutism due to an adjustment reaction	192064004
Adjustment reaction with physical symptoms (disorder)	Adjustment reaction with physical symptoms	192063005
Concentration camp syndrome (disorder)	Concentration camp syndrome	192061007
Adjustment reaction with destructiveness (disorder)	Adjustment reaction with destructiveness	192058006
Adjustment reaction with antisocial behavior (disorder)	Adjustment reaction with antisocial behavior	192057001
Adjustment reaction with aggression (disorder)	Adjustment reaction with aggression	192056005
Culture shock (disorder)	Culture shock	192054008
Early adult emancipation disorder (disorder)	Early adult emancipation disorder	192052007
Adolescent emancipation disorder (disorder)	Adolescent emancipation disorder	192051000
Prolonged depressive adjustment reaction (disorder)	Prolonged depressive adjustment reaction	192049004
Brief depressive adjustment reaction (disorder)	Brief depressive adjustment reaction	192046006
Stress reaction causing mixed disturbance of emotion and conduct (disorder)	Stress reaction causing mixed disturbance of emotion and conduct	192044009
Acute post-trauma stress state (disorder)	Acute post-trauma stress state	192042008
Acute situational disturbance (disorder)	Acute situational disturbance	192041001
Acute stupor state due to acute stress reaction (disorder)	Acute stupor state due to acute stress reaction	192039002
Acute fugue state due to acute stress reaction (disorder)	Acute fugue state due to acute stress reaction	192038005
Acute panic state due to acute stress reaction (disorder)	Acute panic state due to acute stress reaction	192037000
Psychogenic backache (disorder)	Psychogenic backache	192029008
Non-organic loss of appetite (disorder)	Non-organic loss of appetite	192017004
Non-organic infant feeding disturbance (disorder)	Non-organic infant feeding disturbance	192016008
Psychogenic rumination (disorder)	Psychogenic rumination	192014006
Transient childhood tic (disorder)	Transient childhood tic	191990001
Psychogenic symptom of special sense organ (disorder)	Psychogenic symptom of special sense organ	191981008
Psychogenic endocrine malfunction (disorder)	Psychogenic endocrine malfunction	191980009
Psychogenic dysuria (disorder)	Psychogenic dysuria	191978003
Psychogenic dysmenorrhea (disorder)	Psychogenic dysmenorrhoea	191977008
Psychogenic constipation (disorder)	Psychogenic constipation	191973007
Psychogenic dyspepsia (disorder)	Psychogenic dyspepsia	191972002
Psychogenic cyclical vomiting (disorder)	Psychogenic cyclical vomiting	191970005
Psychogenic pruritus (disorder)	Psychogenic pruritus	191966002
Psychogenic skin symptoms (disorder)	Psychogenic skin symptoms	191965003
Neurocirculatory asthenia (disorder)	Neurocirculatory asthenia	191962000
Psychogenic hyperventilation (disorder)	Psychogenic hyperventilation	191956005
Psychogenic hiccough (disorder)	Psychogenic hiccough	191955009
Psychogenic cough (disorder)	Psychogenic cough	191954008
Psychogenic air hunger (disorder)	Psychogenic air hunger	191953002
Somatoform autonomic dysfunction - respiratory tract (disorder)	Somatoform autonomic dysfunction - respiratory tract	191952007
Psychosexual identity disorder (disorder)	Psychosexual identity disorder	191787001
Masochistic personality disorder (disorder)	Masochistic personality disorder	191774007
Immature personality disorder (disorder)	Immature personality disorder	191773001
Eccentric personality disorder (disorder)	Eccentric personality disorder	191772006
Psychoinfantile personality (disorder)	Psychoinfantile personality	191766006
Emotionally unstable personality disorder (disorder)	Emotionally unstable personality disorder	191765005
Hypomanic personality disorder (disorder)	Hypomanic personality disorder	191753006
Psychasthenic neurosis (disorder)	Psychasthenic neurosis	191746002
Writer's cramp neurosis (disorder)	Writer's cramp neurosis	191744004
Obsessional neurosis (disorder)	Obsessional neurosis	191738003
Compulsive neurosis (disorder)	Compulsive neurosis	191737008
Obsessive-compulsive disorder (disorder)	Obsessive-compulsive disorder	191736004
Social phobia, fear of public washing (disorder)	Social phobia, fear of public washing	191726007
Social phobia, fear of public speaking (disorder)	Social phobia, fear of public speaking	191725006
Social phobia, fear of eating in public (disorder)	Social phobia, fear of eating in public	191724005
Agoraphobia with panic attacks (disorder)	Agoraphobia with panic attacks	191722009
Dissociative convulsions (disorder)	Dissociative convulsions	191714002
Dissociative tremor (disorder)	Dissociative tremor	191713008
Borderline psychosis of childhood (disorder)	Borderline psychosis of childhood	191697001
Atypical childhood psychoses (disorder)	Atypical childhood psychoses	191696005
Residual disintegrative psychoses (disorder)	Residual disintegrative psychoses	191693002
Active disintegrative psychoses (disorder)	Active disintegrative psychoses	191692007
Residual infantile autism (disorder)	Residual infantile autism	191690004
Active infantile autism (disorder)	Active infantile autism	191689008
Psychosis with origin in childhood (disorder)	Psychosis with origin in childhood	191687005
Psychogenic stupor (disorder)	Psychogenic stupor	191683009
Psychogenic paranoid psychosis (disorder)	Psychogenic paranoid psychosis	191680007
Reactive confusion (disorder)	Reactive confusion	191678001
Acute hysterical psychosis (disorder)	Acute hysterical psychosis	191677006
Reactive depressive psychosis (disorder)	Reactive depressive psychosis	191676002
Paranoia querulans (disorder)	Paranoia querulans	191672000
Simple paranoid state (disorder)	Simple paranoid state	191668004
Paranoid disorder (disorder)	Paranoid disorder	191667009
Atypical depressive disorder (disorder)	Atypical depressive disorder	191659001
Atypical manic disorder (disorder)	Atypical manic disorder	191658009
Mixed bipolar affective disorder, in full remission (disorder)	Mixed bipolar affective disorder, in full remission	191643001
Mixed bipolar affective disorder, severe, with psychosis (disorder)	Mixed bipolar affective disorder, severe, with psychosis	191641004
Mixed bipolar affective disorder, moderate (disorder)	Mixed bipolar affective disorder, moderate	191639000
Mixed bipolar affective disorder, mild (disorder)	Mixed bipolar affective disorder, mild	191638008
Mixed bipolar affective disorder (disorder)	Mixed bipolar affective disorder	191636007
Bipolar affective disorder, currently depressed, in full remission (disorder)	Bipolar affective disorder, currently depressed, in full remission	191634005
Bipolar affective disorder, currently depressed, moderate (disorder)	Bipolar affective disorder, currently depressed, moderate	191630001
Bipolar affective disorder, currently depressed, mild (disorder)	Bipolar affective disorder, currently depressed, mild	191629006
Bipolar affective disorder, current episode depression (disorder)	Bipolar affective disorder, current episode depression	191627008
Bipolar affective disorder, currently manic, in full remission (disorder)	Bipolar affective disorder, currently manic, in full remission	191625000
Bipolar affective disorder, currently manic, severe, with psychosis (disorder)	Bipolar affective disorder, currently manic, severe, with psychosis	191623007
Bipolar affective disorder, currently manic, moderate (disorder)	Bipolar affective disorder, currently manic, moderate	191621009
Bipolar affective disorder, currently manic, mild (disorder)	Bipolar affective disorder, currently manic, mild	191620005
Bipolar affective disorder, current episode manic (disorder)	Bipolar affective disorder, current episode manic	191618007
Recurrent depression (disorder)	Recurrent depression	191616006
Recurrent major depressive episodes, severe, with psychosis (disorder)	Recurrent major depressive episodes, severe, with psychosis	191613003
Recurrent major depressive episodes, moderate (disorder)	Recurrent major depressive episodes, moderate	191611001
Recurrent major depressive episodes, mild (disorder)	Recurrent major depressive episodes, mild	191610000
Single major depressive episode, severe, with psychosis (disorder)	Single major depressive episode, severe, with psychosis	191604000
Recurrent manic episodes, in full remission (disorder)	Recurrent manic episodes, in full remission	191597008
Recurrent manic episodes, severe, with psychosis (disorder)	Recurrent manic episodes, severe, with psychosis	191595000
Recurrent manic episodes, moderate (disorder)	Recurrent manic episodes, moderate	191593007
Recurrent manic episodes, mild (disorder)	Recurrent manic episodes, mild	191592002
Recurrent manic episodes (disorder)	Recurrent manic episodes	191590005
Single manic episode in full remission (disorder)	Single manic episode in full remission	191588009
Single manic episode, severe, with psychosis (disorder)	Single manic episode, severe, with psychosis	191586008
Single manic episode, moderate (disorder)	Single manic episode, moderate	191584006
Single manic episode, mild (disorder)	Single manic episode, mild	191583000
Cenesthopathic schizophrenia (disorder)	Coenesthopathic schizophrenia	191577003
Schizoaffective schizophrenia in remission (disorder)	Schizoaffective schizophrenia in remission	191574005
Acute exacerbation of chronic schizoaffective schizophrenia (disorder)	Acute exacerbation of chronic schizoaffective schizophrenia	191572009
Acute exacerbation of subchronic schizoaffective schizophrenia (disorder)	Acute exacerbation of subchronic schizoaffective schizophrenia	191571002
Chronic schizoaffective schizophrenia (disorder)	Chronic schizoaffective schizophrenia	191570001
Subchronic schizoaffective schizophrenia (disorder)	Subchronic schizoaffective schizophrenia	191569002
Schizoaffective schizophrenia (disorder)	Schizoaffective schizophrenia	191567000
Latent schizophrenia in remission (disorder)	Latent schizophrenia in remission	191565008
Acute exacerbation of chronic latent schizophrenia (disorder)	Acute exacerbation of chronic latent schizophrenia	191564007
Acute exacerbation of subchronic latent schizophrenia (disorder)	Acute exacerbation of subchronic latent schizophrenia	191563001
Chronic latent schizophrenia (disorder)	Chronic latent schizophrenia	191562006
Subchronic latent schizophrenia (disorder)	Subchronic latent schizophrenia	191561004
Latent schizophrenia (disorder)	Latent schizophrenia	191559008
Acute exacerbation of chronic paranoid schizophrenia (disorder)	Acute exacerbation of chronic paranoid schizophrenia	191555002
Acute exacerbation of subchronic paranoid schizophrenia (disorder)	Acute exacerbation of subchronic paranoid schizophrenia	191554003
Acute exacerbation of chronic catatonic schizophrenia (disorder)	Acute exacerbation of chronic catatonic schizophrenia	191548004
Acute exacerbation of subchronic catatonic schizophrenia (disorder)	Acute exacerbation of subchronic catatonic schizophrenia	191547009
Catatonic schizophrenia (disorder)	Catatonic schizophrenia	191542003
Acute exacerbation of chronic schizophrenia (disorder)	Acute exacerbation of chronic schizophrenia	191531007
Simple schizophrenia (disorder)	Simple schizophrenia	191527001
Schizophrenic disorders (disorder)	Schizophrenic disorders	191526005
Non-organic psychosis (disorder)	Non-organic psychosis	191525009
Dementia associated with another disease (disorder)	Dementia associated with another disease	191519005
Subacute confusional state, of cerebrovascular origin (disorder)	Subacute confusional state, of cerebrovascular origin	191512001
Subacute confusional state, of metabolic origin (disorder)	Subacute confusional state, of metabolic origin	191511008
Subacute confusional state, of endocrine origin (disorder)	Subacute confusional state, of endocrine origin	191510009
Subacute confusional state, of infective origin (disorder)	Subacute confusional state, of infective origin	191509004
Subacute confusional state, post-traumatic (disorder)	Subacute confusional state, post-traumatic	191508007
Subacute delirium (disorder)	Subacute delirium	191507002
Acute confusional state, of cerebrovascular origin (disorder)	Acute confusional state, of cerebrovascular origin	191505005
Acute confusional state, of metabolic origin (disorder)	Acute confusional state, of metabolic origin	191504009
Acute confusional state, of endocrine origin (disorder)	Acute confusional state, of endocrine origin	191503003
Acute confusional state, of infective origin (disorder)	Acute confusional state, of infective origin	191502008
Acute confusional state, post-traumatic (disorder)	Acute confusional state, post-traumatic	191501001
Transient organic psychoses (disorder)	Transient organic psychoses	191499009
Personality disorder caused by drug (disorder)	Drug-induced personality disorder	191496002
Depressive disorder caused by drug (disorder)	Depressive disorder caused by drug	191495003
Amnestic disorder caused by drug (disorder)	Amnestic disorder caused by drug	191494004
Dementia caused by drug (disorder)	Drug-induced dementia	191493005
Delirium caused by drug (disorder)	Delirium caused by drug	191492000
Hallucinosis caused by drug (disorder)	Hallucinosis caused by drug	191486006
Paranoid state caused by drug (disorder)	Drug-induced paranoid state	191485005
Psychotic disorder caused by drug (disorder)	Drug-induced psychosis	191483003
Alcoholic paranoia (disorder)	Alcoholic paranoia	191478006
Alcohol withdrawal hallucinosis (disorder)	Alcohol withdrawal hallucinosis	191476005
Chronic alcoholic brain syndrome (disorder)	Chronic alcoholic brain syndrome	191475009
Korsakov's alcoholic psychosis with peripheral neuritis (disorder)	Korsakov's alcoholic psychosis with peripheral neuritis	191471000
Arteriosclerotic dementia with depression (disorder)	Arteriosclerotic dementia with depression	191466007
Arteriosclerotic dementia with paranoia (disorder)	Arteriosclerotic dementia with paranoia	191465006
Arteriosclerotic dementia with delirium (disorder)	Arteriosclerotic dementia with delirium	191464005
Uncomplicated arteriosclerotic dementia (disorder)	Uncomplicated arteriosclerotic dementia	191463004
Senile dementia with delirium (disorder)	Senile dementia with delirium	191461002
Senile dementia with depression (disorder)	Senile dementia with depression	191459006
Senile dementia with paranoia (disorder)	Senile dementia with paranoia	191458003
Senile dementia with depressive or paranoid features (disorder)	Senile dementia with depressive or paranoid features	191457008
Presenile dementia with depression (disorder)	Presenile dementia with depression	191455000
Presenile dementia with paranoia (disorder)	Presenile dementia with paranoia	191454001
Presenile dementia with delirium (disorder)	Presenile dementia with delirium	191452002
Uncomplicated presenile dementia (disorder)	Uncomplicated presenile dementia	191451009
Uncomplicated senile dementia (disorder)	Uncomplicated senile dementia	191449005
Organic psychotic condition (disorder)	Organic psychotic condition	191447007
Morbid jealousy (disorder)	Morbid jealousy	162313000
Stress-related problem (disorder)	Stress-related problem	162218007
Mother-daughter symbiotic syndrome (disorder)	Mother-daughter symbiotic syndrome	129607003
Frontal lobe syndrome (disorder)	Frontal lobe syndrome	129606007
Postgastrectomy neurosis (disorder)	Postgastrectomy neurosis	129605006
Delusion of heart disease syndrome (disorder)	Delusion of heart disease syndrome	129604005
Symbiotic infantile psychosis (disorder)	Symbiotic infantile psychosis	129602009
Psychogenic skin disease (disorder)	Psychogenic skin disease	129562004
Developmental mental disorder (disorder)	Developmental mental disorder	129104009
Chronic mental disorder (disorder)	Chronic mental disorder	128293007
Separation anxiety (disorder)	Separation anxiety	126943008
Conversion disorder, single episode (disorder)	Conversion disorder, single episode	111492006
Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission (disorder)	Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission	111491004
Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks (disorder)	Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks	111490003
Dream anxiety disorder (disorder)	Dream anxiety disorder	111487009
Symptomatic sexual sadism (disorder)	Symptomatic sexual sadism	111486000
Mixed bipolar I disorder in full remission (disorder)	Mixed bipolar I disorder in full remission	111485001
Undifferentiated schizophrenia (disorder)	Undifferentiated schizophrenia	111484002
Catatonic schizophrenia in remission (disorder)	Catatonic schizophrenia in remission	111483008
Subchronic schizophrenia with acute exacerbations (disorder)	Subchronic schizophrenia with acute exacerbations	111482003
Psychoactive substance-induced organic dementia (disorder)	Psychoactive substance-induced organic dementia	111480006
Organic mental disorder (disorder)	Organic mental disorder	111479008
Reactive attachment disorder of infancy OR early childhood, disinhibited type (disorder)	Reactive attachment disorder of infancy OR early childhood, disinhibited type	111477005
Neurosis (disorder)	Neurosis	111475002
Indication for modification of patient psychological status (disorder)	Indication for modification of patient psychological status	109901006
Indication for modification of patient physical status (disorder)	Indication for modification of patient physical status	109900007
Indication for modification of patient emotional status (disorder)	Indication for modification of patient emotional status	109899002
Indication for modification of patient cognitive status (disorder)	Indication for modification of patient cognitive status	109898005
Indication for modification of patient behavior status (disorder)	Indication for modification of patient behavior status	109897000
Indication for modification of patient status (disorder)	Indication for modification of patient status	109896009
Factitious cheilitis (disorder)	Factitious cheilitis	109805003
Mental disorder AND/OR culture bound syndrome (disorder)	Mental disorder AND/OR culture bound syndrome	106015009
Amnesic shellfish poisoning (disorder)	Amnesic shellfish poisoning	95878009
Munchausen syndrome by proxy (disorder)	Munchausen's by proxy	95637005
Sadomasochism (disorder)	Sadomasochism	95636001
Psychogenic aphonia (disorder)	Psychogenic aphonia	95439001
Gender dysphoria (disorder)	Gender dysphoria	93461009
Avoidant disorder of adolescence (disorder)	Avoidant disorder of adolescence	90790003
Nicotine withdrawal syndrome (disorder)	Nicotine withdrawal	90755006
Conversion dysphonia (disorder)	Conversion dysphonia	90483007
Subcortical leukoencephalopathy (disorder)	Subcortical leukoencephalopathy	90099008
